Designation, mass, d, bf, tf, tw, r1, d1, d1/tw, (bf-tw)/tf, Ag, XL, X0, Ix, Zx, Sx, rx, Iy, ZyR, ZyL, Sy, ry, J, Iw, fy,f, fy,w, kf, Zex, fu, Zey,A, Zey,B
380PFC, 55.2, 380, 100, 17.5, 10, 14, 345, 34.5, 5.14, 7030, 27.5, 56.7, 152.0E+6, 798.0E+3, 946.0E+3, 147, 6.48E+06, 8.94E+04, 2.36E+05, 1.61E+05, 30.4, 491.0E+3, 152.0E+9, 280, 320, 1, 946.0E+3, 440, 115.0E+3, 134.0E+3
300PFC, 40.1, 300, 90, 16, 8, 14, 268, 33.5, 5.13, 5110, 27.2, 56.1, 72.4E+6, 483.0E+3, 564.0E+3, 119, 4.04E+06, 6.44E+04, 1.48E+05, 1.17E+05, 28.1, 304.0E+3, 58.1E+9, 300, 320, 1, 564.0E+3, 440, 82.3E+3, 96.6E+3
250PFC, 35.5, 250, 90, 15, 8, 12, 220, 27.5, 5.47, 4520, 28.6, 58.5, 45.1E+6, 361.0E+3, 421.0E+3, 99.9, 3.64E+06, 5.93E+04, 1.27E+05, 1.07E+05, 28.4, 248.0E+3, 35.9E+9, 300, 320, 1, 421.0E+3, 440, 88.7E+3, 89.0E+3
230PFC, 25.1, 230, 75, 12, 6.5, 12, 206, 31.7, 5.71, 3200, 22.6, 46.7, 26.8E+6, 233.0E+3, 271.0E+3, 91.4, 1.76E+06, 3.36E+04, 7.78E+04, 6.10E+04, 23.5, 112.0E+3, 14.9E+9, 300, 320, 1, 271.0E+3, 440, 45.1E+3, 50.4E+3
200PFC, 22.9, 200, 75, 12, 6, 12, 176, 29.3, 5.75, 2920, 24.4, 50.5, 19.1E+6, 191.0E+3, 221.0E+3, 80.9, 1.65E+06, 3.27E+04, 6.78E+04, 5.99E+04, 23.8, 105.0E+3, 10.5E+9, 300, 320, 1, 221.0E+3, 440, 46.7E+3, 49.1E+3
180PFC, 20.9, 180, 75, 11, 6, 12, 158, 26.3, 6.27, 2660, 24.5, 50.3, 14.1E+6, 157.0E+3, 182.0E+3, 72.9, 1.51E+06, 2.99E+04, 6.15E+04, 5.38E+04, 23.8, 84.5E+3, 7.8E+9, 300, 320, 1, 182.0E+3, 440, 44.9E+3, 44.8E+3
150PFC, 17.7, 150, 75, 9.5, 6, 10, 131, 21.8, 7.26, 2250, 24.9, 51, 8.3E+6, 111.0E+3, 129.0E+3, 60.8, 1.29E+06, 2.57E+04, 5.16E+04, 4.60E+04, 23.9, 56.6E+3, 4.6E+9, 320, 320, 1, 129.0E+3, 440, 38.5E+3, 38.5E+3
125PFC, 11.9, 125, 65, 7.5, 4.7, 8, 110, 23.4, 8.04, 1520, 21.8, 45, 4.0E+6, 63.5E+3, 73.0E+3, 51.1, 6.58E+05, 1.52E+04, 3.02E+04, 2.72E+04, 20.8, 23.8E+3, 1.6E+9, 320, 320, 1, 72.8E+3, 440, 22.8E+3, 22.8E+3
100PFC, 8.33, 100, 50, 6.7, 4.2, 8, 86.6, 20.6, 6.84, 1060, 16.7, 33.9, 1.7E+6, 34.7E+3, 40.3E+3, 40.4, 2.67E+05, 8.01E+03, 1.60E+04, 1.44E+04, 15.9, 13.6E+3, 419.0E+6, 320, 320, 1, 40.3E+3, 440, 12.0E+3, 12.0E+3
75PFC, 5.92, 75, 40, 6.1, 3.8, 8, 62.8, 16.5, 5.93, 754, 13.7, 27.2, 683.0E+3, 18.2E+3, 21.4E+3, 30.1, 1.20E+05, 4.56E+03, 8.71E+03, 8.20E+03, 12.6, 8.4E+3, 103.0E+6, 320, 320, 1, 21.4E+3, 440, 6.8E+3, 6.8E+3
