Designation, d, b, t, r, mass, (b-2t)/t, Ag, Ix, Zx, Zn, Sx, rx, J, C, kf, lambdae, compactness, Ze, fy, fu
250x9 SHS, 250, 250, 9, 27, 65.9, , 8400, , , , , , , , , , , , 350, 430
250x6 SHS, 250, 250, 6, 18, 45, , 5730, , , , , , , , , , , , 350, 430
200x9 SHS, 200, 200, 9, 27, 51.8, , 6600, , , , , , , , , , , , 350, 430
200x6 SHS, 200, 200, 6, 18, 35.6, , 4530, , , , , , , , , , , , 350, 430
200x5 SHS, 200, 200, 5, 15, 29.9, , 3810, , , , , , , , , , , , 350, 430
150x9 SHS, 150, 150, 9, 27, 37.7, , 4800, , , , , , , , , , , , 350, 430
150x6 SHS, 150, 150, 6, 18, 26.2, , 3330, , , , , , , , , , , , 350, 430
150x5 SHS, 150, 150, 5, 15, 22.1, , 2810, , , , , , , , , , , , 350, 430
125x9 SHS, 125, 125, 9, 27, 30.6, , 3900, , , , , , , , , , , , 350, 430
125x6 SHS, 125, 125, 6, 18, 21.4, , 2730, , , , , , , , , , , , 350, 430
125x5 SHS, 125, 125, 5, 15, 18.2, , 2310, , , , , , , , , , , , 350, 430
125x4 SHS, 125, 125, 4, 12, 14.8, , 1880, , , , , , , , , , , , 350, 430
100x9 SHS, 100, 100, 9, 27, 23.5, , 3000, , , , , , , , , , , , 350, 430
100x6 SHS, 100, 100, 6, 18, 16.7, , 2130, , , , , , , , , , , , 350, 430
100x5 SHS, 100, 100, 5, 15, 14.2, , 1810, , , , , , , , , , , , 350, 430
100x4 SHS, 100, 100, 4, 12, 11.6, , 1480, , , , , , , , , , , , 350, 430
100x3 SHS, 100, 100, 3, 6, 8.96, , 1140, , , , , , , , , , , , 350, 430
89x6 SHS, 89, 89, 6, 18, 14.6, , 1870, , , , , , , , , , , , 350, 430
89x5 SHS, 89, 89, 5, 15, 12.5, , 1590, , , , , , , , , , , , 350, 430
89x4 SHS, 89, 89, 3.5, 10.5, 9.06, , 1150, , , , , , , , , , , , 350, 430
75x6 SHS, 75, 75, 6, 18, 12, , 1530, , , , , , , , , , , , 350, 430
75x5 SHS, 75, 75, 5, 15, 10.3, , 1310, , , , , , , , , , , , 350, 430
75x4 SHS, 75, 75, 4, 12, 8.49, , 1080, , , , , , , , , , , , 350, 430
75x3 SHS, 75, 75, 3, 6, 6.6, , 841, , , , , , , , , , , , 350, 430
75x3 SHS, 75, 75, 2.5, 5, 5.56, , 709, , , , , , , , , , , , 350, 430
